term,meaning,type,latin,native,language
tiftuf,trickle,o,tiftuf,טִיפְטוּף,hebrew
tigris,tiger,o,,,latin
tikiv,hope,o,tikevah,תִּקְוָה,hebrew
tikran,maximum,m,tikra,תִּקְרָה,hebrew
tikun,repair,o,tikun,תִּקּוּן,hebrew
tilun,complain,o,tluna,תְּלוּנָה,hebrew
tim,multicellular organism,o,,,
timur,permute,o,tmura,תְּמוּרָה,hebrew
tin,between,a,,,english
tipal,drop,a,tipa,טִיפָּה,hebrew
tipul,therapy,o,tipul,טִפּוּל,hebrew
tipun,case (law),a,ti'un,טִיעוּן,hebrew
tiq,TRUE,m,,,
tiraf,prey,o,teref,טֶרֶף,hebrew
tiram,beach,o,,तीर,sanskrit
tiras,corn,o,tiras,תִּירָס,hebrew
tirdan,bother,a,tirda,טִרְדָּה,hebrew
tireC,attack,o,,tilræði,icelandic
tirok,slam,o,litR(o)k,לִטְרוֹק,hebrew
tiron,noob,o,tiron,טִירוֹן,hebrew
tisid,fade,o,tuise,褪色,chinese
tislit,rodentia,o,tisiliit,ᑎᓯᓖᑦ,inuktitut
titxum,pose (question),o,tíchū,提出,chinese
tivak,slaughter,a,tevach,טֶבַח,hebrew
tiyut,draft (version),o,teyutah,טְיוּטָה,hebrew
tizal,shadow,o,tzel,צֵל,hebrew
todan,gratitude,o,toda,תּוֹדָה,hebrew
tof,relates to (affectional),m,,,
tofif,tap,o,letof(e)f,לְתוֹפֵף,hebrew
tohik,rebuke,o,tochecha,תּוֹכֵחָה,hebrew
tokaf,valid,m,tokef,תּוֹקֶף,hebrew
toks,easy,m,,,
tolpal,bid,a,tóupiào,投票,chinese
tolpyal,vote,o,tóupiào,投票,chinese
tolum,confide,o,tòulù,透露,chinese
tolxim,perspective,a,toushi,透视,chinese
tolyun,dizzy,m,tóu yūn,头晕,chinese
tom,atom,o,,,english
tontxaq,usual,m,tōngcháng,通常,chinese
tonyaq,similar,m,tóngyàng,同样,chinese
topan,polytope,o,,,english
toqgwop,adopt,o,tōngguò,通过,chinese
toqkut,anguish,a,tòng kǔ,痛苦,chinese
toqlaq,flux,a,tongliang,通量,chinese
toqtxiq,sympathy,m,tóng qíng,同情,chinese
toqxin,correspond,o,tongxin,通信,chinese
torak,instruct,a,torah,תּוֹרָה,hebrew
tork,wrong,m,,,
torpid,torpedo,o,,,english
tortug,turtle,o,,,spanish
tov,good,m,tov,טוֹב,hebrew
tovan,insight,o,tovana,תּוֹבָנָה,hebrew
tovaq,favor,o,tova,טוֹבָה,hebrew
towan,ellipse,o,tuǒ yuán,椭圆,chinese
tozik,invest,o,tóuzī,投资,chinese
trad,west,o,,,
trakan,scream,o,tzracha,צְרָחָה,hebrew
traktor,tractor,o,,,english
trants,trance,o,,,english
tranz,transform,o,,,english
traqmat,uncountably large,m,drangmé,གྲངས་མེད,tibetan
trayal,trial,o,,,english
tred,t sound,o,,,
trid,vowel i sound,o,,,
triyal,trail,o,,,english
tub,over,a,,,
tubal,mop,o,tuoba,拖把,chinese
tubyal,chart,o,tú biǎo,图表,chinese
tuCak,grumble,o,,tuða,icelandic
tudim,realm,o,tǔdì,土地,chinese
tudjem,schematic,m,tujie,图解,chinese
tudoq,nudge,o,tuidong,推动,chinese
tugak,ivory,o,,ᑑᒑᖅ,inuktitut
tujur,still (nevertheless),m,toujours,,french
tukiz,turquoise,o,turkiz,טוּרְקִיז,hebrew
tuksul,flinch,o,tuisuo,退缩,chinese
tuktuk,caribou,o,,ᑐᒃᑐ,inuktitut
tukvak,moose,o,tuktuvak,ᑐᒃᑐᕙᒃ,inuktitut
tul,tool,m,tool,,english
tulur,degenerate,m,tuihua,退化,chinese
tuq,FALSE,m,,,
tur,before,m,,,
turan,sudden,m,túrán,突然,chinese
turnir,competition,o,turnir,טוּרְנִיר,hebrew
tusik,plover (bird),o,tuusiik,ᕐᑮᕐᓕᒃ,inuktitut
tuv,input (computing),a,,,
tux,until,m,,,
twanlum,turbulent,m,tuān liú,湍流,chinese
twiqkal,twinkle,a,,,english
twitxun,quit,a,tuì chū,退出,chinese
txabyeq,differential,m,chābié,差别,chinese
txadan,menu,o,cài dān,菜单,chinese
txafuk,fortune,o,cái fù,财富,chinese
txakman,wisdom,o,ḥakīm,حَكِيم,arabic
txalal,material,o,cái liào,材料,chinese
txalat,traverse,o,calata,चलति,sanskrit
txaltxan,property,o,cái chǎn,财产,chinese
txaltxuk,languish,o,qiaocui,憔悴,chinese
txalxaq,poor,m,chasheng,差生,chinese
txalxik,soggy,m,cháo shī,潮湿,chinese
txalxip,moist,o,cháo shī,潮湿,chinese
txalyum,tide,a,cháoliú,潮流,chinese
txam,little,m,,,
txan,100,o,,,
txanbek,senior,m,qián bèi,前辈,chinese
txanbuk,aggregate,a,quánbù,全部,chinese
txandal,outcast,a,caṇḍāla,चण्डाल,sanskrit
txandan,dismal,m,cǎn dàn,惨淡,chinese
txandjem,wild,m,chāngjué,猖獗,chinese
txandram,glitter,o,Candra,चन्द्र,sanskrit
txandran,moon,a,chandra,चन्द्र,sanskrit
txanik,migrate,o,qiān yí,迁移,chinese
txansul,huddle,o,quansuo,蜷缩,chinese
txantim,premise,o,qianti,前提,chinese
txantiq,restaurant,o,cān tīng,餐厅,chinese
txantoq,legacy,o,chuántǒng,传统,chinese
txantup,future,o,qián tú,前途,chinese
txantxaq,often,m,chángcháng,常常,chinese
txantxim,puncture,o,chuanci,穿刺,chinese
txanuk,confess,o,chanhui,忏悔,chinese
txanwal,edge,o,qianwei,前卫,chinese
txanwaq,prospect,o,zhanwang,展望,chinese
txanxin,gasp,m,chuanxi,喘息,chinese
txanyan,study,m,zuanyan,钻研,chinese
txanyup,residue,a,canyu,残余,chinese
txanzal,precursor,o,qianzhao,前兆,chinese
txaqan,reimburse,o,changhuan,偿还,chinese
txaqbek,pale,m,cāng bái,苍白,chinese
txaqdjin,neat,m,zhengqi,整齐,chinese
txaqgwit,general,a,cháng guī,常规,chinese
txaqhek,occasion,o,chǎng hé,场合,chinese
txaqnat,hangover,o,,ཆང་ནད,tibetan
txaqtxup,hasty,m,cāng cù,仓促,chinese
txaqwan,spectacular,m,zhuanguan,壮观,chinese
txaqxol,longevity,o,cháng shòu,长寿,chinese
txatxal,tribute,o,,དཔྱ་ཁྲལ,tibetan
txayoq,admit,a,cǎiyòng,采用,chinese
txebal,reassure,o,quèbǎo,确保,chinese
txedan,defect,a,quēdiǎn,缺点,chinese
txedik,thorough,m,chè dǐ,彻底,chinese
txefak,deficient,o,quē fá,缺乏,chinese
txehul,mastermind,o,cehua,策划,chinese
txekut,garage,o,chē kù,车库,chinese
txendjup,stale,m,chén jiù,陈旧,chinese
txenmen,dreary,m,chén mèn,沉闷,chinese
txenxik,formulate,a,chéngshì,程式,chinese
txenxuk,statement,a,chén shù,陈述,chinese
txeq,q sound,o,,,
txeqdup,degree,o,chéngdù,程度,chinese
txeqnul,commit,o,chengnuo,承诺,chinese
txeqtxik,hierarchy,o,céngcì,层次,chinese
txibit,pungent,m,cì bí,刺鼻,chinese
txidal,equator,o,chì dào,赤道,chinese
txidjan,duration,o,qijian,期间,chinese
txidjup,lasting,o,chijiu,持久,chinese
txidran,slit,o,chidrá,छिद्र,sanskrit
txifug,undulate,a,qifu,起伏,chinese
txigam,strange,m,qiguai,奇怪,chinese
txigwar,odd,m,qí guài,奇怪,chinese
txihop,climate,a,qihou,气候,chinese
txikan,gloss,a,,चिक्कण,sanskrit
txikar,shrill,m,cì ěr,刺耳,chinese
txiluk,strategy,o,chelue,策略,chinese
txilum,revoke,a,chehui,撤回,chinese
txilun,gear,o,chǐ lún,齿轮,chinese
txilxaq,kind,m,cixiang,慈祥,chinese
tximal,marvel,o,qimiao,奇妙,chinese
tximtxiq,gallop,o,chicheng,驰骋,chinese
txinfan,diligent,o,qinfen,勤奋,chinese
txintoq,bronze,o,qīng tóng,青铜,chinese
txintxuk,clear,o,qīngchǔ,清楚,chinese
txiqbal,innocent,a,qingbai,清白,chinese
txiqfun,frivolity,a,qīng fú,轻浮,chinese
txiqwek,mild,m,qīng wēi,轻微,chinese
txiqxup,sentiment,a,qíng xù,情绪,chinese
txiqyal,jiggle,o,qingyao,轻摇,chinese
txiqyan,member,o,chengyuan,成员,chinese
txirul,flimsy,o,cuì ruò,脆弱,chinese
txitek,magnet,o,cí tiě,磁铁,chinese
txiwal,moreover,m,ciwai,此外,chinese
txixan,charity,m,cí shàn,慈善,chinese
txixib,bias,o,qíshì,歧视,chinese
txixin,assertive,m,zixin,自信,chinese
txiyal,minor,o,cì yào,次要,chinese
txiyton,tingle,o,citong,刺痛,chinese
txizit,resign,a,cizhi,辞职,chinese
txodat,incite,a,códati,चोदति,sanskrit
txondjiq,venerate,a,chóng jìng,崇敬,chinese
txonmiq,clever,a,cōngmíng,聪明,chinese
txoqdjik,summary,a,zongjie,总结,chinese
txoqdjiq,yearn,a,chongjing,憧憬,chinese
txoqwul,pet,o,chongwu,宠物,chinese
txoqxik,substantiate,a,chōngshí,充实,chinese
txor,saturate,a,,,
txotxim,reek,o,chouqi,臭气,chinese
txowut,mistake,a,cuò wù,错误,chinese
txoyil,seat,a,zuoyi,座椅,chinese
txoyul,excellence,o,zhuoyue,卓越,chinese
txubal,rowdy,o,cū bào,粗暴,chinese
txubek,reserve,o,chǔ bèi,储备,chinese
txudal,channel,o,qú dào,渠道,chinese
txudet,acquire,a,qǔdé,取得,chinese
txudiq,ascertain,a,queding,确定,chinese
txudjum,pursue,a,zhuiqiu,追求,chinese
txufin,differentiate,a,qufen,区分,chinese
txugan,supervisor,o,zhuguan,主管,chinese
txuhan,perspire,a,chuhan,出汗,chinese
txuhuk,retrieve,a,quhui,取回,chinese
txulik,dispose,a,chuli,处理,chinese
txulok,flood,o,,ཆུ་ལོག,tibetan
txulrol,fragile,m,cuiruo,脆弱,chinese
txulup,rude,m,cū lǔ,粗鲁,chinese
txumik,spring (water),o,,ཆུ་མིག,tibetan
txunhol,mellow,o,chún hòu,醇厚,chinese
txuntxum,storage,o,cunchu,存储,chinese
txunyig,originality,o,chuangyi,创意,chinese
txunzip,skirt,o,qún zi,裙子,chinese
txuqzat,bit (small amount),o,,ཅུང་ཟད,tibetan
txurnam,powder,o,cūrṇa,चूर्ण,sanskrit
txusim,trend,a,qushi,趋势,chinese
txutsot,clock,o,,ཆུ་ཚོད,tibetan
txuwik,puff,o,chui,吹,chinese
txuxal,cancel,a,qǔxiāo,取消,chinese
txuxil,tendency,o,qushi,趋势,chinese
txwanbol,propagate,a,chuanbo,传播,chinese
txwantoq,tradition,o,chuán tǒng,传统,chinese
txwirul,frail,o,cuì ruò,脆弱,chinese
undefined,eccentric,m,,,
vadad,insulate,a,levad(e)d,לְבַדֵּד,hebrew
vadut,certain,a,vada'ut,וַדָאוּת,hebrew
vag,substance,a,,,
vahat,carry,a,váhati,वहति,sanskrit
vahid,conference,o,ve'ida,וְעִידָה,hebrew
vahox,stir,a,livH(o)x,לִבְחוֹשׁ,hebrew
vak,multiply,a,,,
vakan,cow,o,,,latin
vakrin,crooked,m,vakrin,वक्रिन्,sanskrit
val,volume (math),o,,,english
valam,cave,o,valá,वल,sanskrit
valbal,confuse,a,levalb(e)l,לְבַלְבֵּל,hebrew
valeb,available,m,,,english
vamit,vomit,o,,,english
vampir,vampire,o,,,english
van,having the nature of (-ivity),m,,,
vapad,committee,o,va'ad,וַעַד,hebrew
vapir,explain,a,leva'(e)R,לְבָאֵר,hebrew
vapis,upset,o,leva'(e)s,לְבַאֵס,hebrew
vapux,stunning,m,,वपुष,sanskrit
vaq,it,m,,,
vaqkyam,flex,o,,वङ्क्य,sanskrit
var,environment,o,,,english
varam,circumference,o,vára,वर,sanskrit
varas,width,o,váras,वरस्,sanskrit
vardat,elevate,a,várdhati,वर्धति,sanskrit
varik,greet,a,levaR(e)H,לְבָרֵךְ,hebrew
varit,ward (off),o,vārita,वारित,sanskrit
varnix,varnish,a,,,english
varod,pink,m,varod,וָרֹד,hebrew
varpas,aspect,a,,वर्पस्,sanskrit
vartat,roll,a,,वर्तते,sanskrit
vartis,circuit,o,,वर्तिस्,sanskrit
varun,ocean,o,varuna,वरुण,sanskrit
vasam,will (force),m,,वश,sanskrit
vasan,box,o,vāsana,वासन,sanskrit
vast,v sound,o,,,
vastav,genuine,o,vAstava,वास्तव,sanskrit
vasum,wealth,o,vásu,वसु,sanskrit
vatak,insure,a,levat(e)aH,לְבַטֵּחַ,hebrew
vatar,descent,a,avatar,अवतार,sanskrit
vatir,concede,a,levat(e)R,לְווַתֵּר,hebrew
vatxan,speech,o,vácana,वचन,sanskrit
vatzir,reinforce,a,levatz(e)R,לְבַצֵּר,hebrew
vav,repeat,a,,,
vayan,weave,a,vayana,वयन,sanskrit
vayax,embarrass,a,levay(e)x,לְבַייֵּשׁ,hebrew
vayim,stage (action),a,levay(e)m,לְבַייֵּם,hebrew
vayin,interpolate,a,levay(e)n,לְבַייֵּן,hebrew
vayit,domesticate,a,levay(e)t,לְבַייֵּת,hebrew
vayun,air,o,vayu,वायु,sanskrit
vazir,disperse,a,levaz(e)R,לְבַזֵּר,hebrew
vebrant,vibrant,a,,,english
ved,study or science of (-ology),m,,,
vektar,vector (math),o,,,english
velants,valence,o,,,english
ven,even (though),m,,,english
vental,eventual,m,eventual,,english
ventxur,venture,o,,,english
venyuk,venue,o,,,english
vep,interface (computing),o,,,
ver,vary,o,,,english
vermis,worm,o,,,latin
vetus,old,o,vetus,,latin
vib,vibe,a,,,
vibav,evolve,a,,विभव,sanskrit
viCak,supplement,a,,viðauki,icelandic
viCur,wood,o,,viður,icelandic
videx,foreign,o,videśa,विदेश,sanskrit
vidjan,young,o,vijana,,swahili
vidyut,electricity,o,vidyut,विद्युत्,sanskrit
vig,select,m,,,
vik,test,o,,,
vikat,dread,o,,विकट,sanskrit
vikram,pace,o,vikrama,विक्रम,sanskrit
vil,file (computer),o,,,english
vilon,curtain,o,vilon,וִילוֹן,hebrew
vim,way/style,o,,,
vimal,transparent,m,vimala,विमल,sanskrit
vinkak,lemming,o,avinnqaq,ᐊᕕᙵᖅ,inuktitut
vipul,vast,m,,विपुल,sanskrit
vir,energy,o,virya,वीर्य,sanskrit
viram,stop,o,,विराम,sanskrit
virteks,vertex,o,,,english
vis,see,a,,,spanish
vit,output,o,,,
viv,six,o,,,
viver,viverridae,o,,,
vixnun,preserve/store/save,a,,,
vizor,visor,o,,,english
vod,void,m,,,
vol,individual,o,,,
volaC,misery,m,,volæði,icelandic
volkan,volcano,m,volcano,,english
voltan,volt,o,,,
voltxur,vulture,o,,,english
vorak,bee,o,dvora,דְּבוֹרָה,hebrew
vorteks,vortex,o,,,english
vorx,vowel o sound,o,,,
vot,bad,m,,,
voz,versus,m,,,
vranan,sore,m,vraṇa,व्रण,sanskrit
vrum,10^15,o,,,
vuc,catch,a,,,
vuhok,glow,a,livh(o)k,לִבְהוֹק,hebrew
vuk,ever,m,,,
vulol,mingle,a,livl(o)l,לִבְלוֹל,hebrew
vulpes,fox,o,vulpes,,latin
vun,on,m,,,
vurs,converse (talk),a,,,english
vut,be,m,be,,english
vux,entity,a,,,
vuxim,genitals,o,m'vushím,מְבוּשִׁים,hebrew
vyasan,breadth,o,vyāsa,व्यास,sanskrit
wad,would,a,,,english
wadin,valley,o,wādin,وَادٍ,arabic
wadud,insect,o,wadudu,,swahili
wafak,fit,m,wāfaqa,وَافَقَ,arabic
wak,walk,a,,,
wakar,revere,a,waqqara,وَقَّرَ,arabic
wakxaq,extrovert,m,wài xiàng,外向,chinese
wal,while,m,,,
walal,exotic,m,wàilái,外来,chinese
walet,wallet,o,,,english
walidy,bring forth,a,wallidī,وَلِّدِي,arabic
walik,opulent,m,huá lì,华丽,chinese
walin,flamboyant,m,huá lì,华丽,chinese
walt,wet,m,,,english
waltal,coat,o,wài tào,外套,chinese
wam,surprise,a,,,
wandjiq,ambiance,o,huánjìng,环境,chinese
wandjup,toy,o,wanju,玩具,chinese
wangoq,staff,o,yuán gōng,员工,chinese
want,want,a,,,english
wantxeq,finish,o,wancheng,完成,chinese
wanxaq,perfect,m,wanshang,完善,chinese
wanyal,stoop,o,wanyao,弯腰,chinese
wanyan,meander,o,wanyan,蜿蜒,chinese
wanzeq,intact,m,wánzhěng,完整,chinese
waqdjim,forget,a,wàng jì,忘记,chinese
waqgul,stubborn,m,wangu,顽固,chinese
waqpal,trump,o,wangpai,王牌,chinese
waqun,dusk,o,huáng hūn,黄昏,chinese
war,inquire,m,,,english
warbol,warble,a,,,english
ward,direction,o,,,
wark,work,o,,,english
warp,vowel large A sound,o,,,
wasaf,depict,a,wasafa,وَصَفَ,arabic
wasal,will,a,waṣiyya,وَصِيَّة ,arabic
watx,watch,o,,,english
wav,exist,a,,,
wax,universe (all that is in existence)/all,o,,,
waxin,sardine,o,iwashi,いわし,japanese
wazim,sock (foot),o,wà zi,袜子,chinese
webar,weber (measurement),o,,,english
webol,meager,m,wēi bó,微薄,chinese
wedal,tang,o,wèidào,味道,chinese
wediq,wade,a,,,english
wedjip,critical,m,wēi jí,危急,chinese
wefan,diverge,a,wéifǎn,违反,chinese
wegwaq,shimmer,a,wēi guāng,微光,chinese
wek,way,o,,,english
welek,shoddy,m,wěi liè,伪劣,chinese
wendup,temperature,o,wēn dù,温度,chinese
wenrol,tender,a,wenrou,温柔,chinese
wenxun,meek,m,wenshun,温顺,chinese
wenyip,plague,o,wēn yì,瘟疫,chinese
wenzoq,sedate,a,wenzhong,稳重,chinese
weral,encompass,a,weirao,围绕,chinese
wet,wait,a,,,english
wetx,which,m,,,english
wexin,prestige,o,wēi xìn,威信,chinese
wez,fifteen,m,,,
widj,10^42,o,,,
widjet,widget,o,,,english
wif,iff,m,,,
wik,week,o,,,english
wikzwaq,disguise,o,weizhuang,伪装,chinese
wil,default,o,,,
wildur,bewilder,a,,,english
wilon,willow,o,,,english
win,when,m,,,english
wirdjun,hypocrite,o,weijunzi,伪君子,chinese
wit,we,m,,,
witx,w sound,o,,,
wiv,reduce,a,,,
wixak,scarf,o,wishah,وِشَاح,arabic
wixek,witty,m,huī xié,诙谐,chinese
wizal,weasel,o,,,english
wokuf,familiarity,m,woqôf,وُقُوفٌ,arabic
wolban,buddy,o,huǒ bàn,伙伴,chinese
wolik,vigor,a,huó lì,活力,chinese
wonuk,snail,o,woniu,蜗牛,chinese
worm,warm,o,,,english
wowak,sparkle,o,huǒ huā,火花,chinese
woz,problem,o,,,
wugwan,extraneous,m,wú guān,无关,chinese
wunaq,clueless,m,wuneng,无能,chinese
wups,whoops,m,,,english
wutxan,lunch,o,wǔ cān,午餐,chinese
wutxaq,error,o,wucha,误差,chinese
wutxuk,vapid,m,wú qù,无趣,chinese
wux,system,o,,,
wuxik,pragmatic,m,wushi,务实,chinese
wuzim,ignorant,m,wuzhi,无知,chinese
xab,seven,m,,,
xabat,rest,o,shabat,שַׁבָּת,hebrew
xabic,cling,o,shabitha,شَبِثَ,arabic
xabitz,assign,a,lexab(e)tz,לְשַׁבֵּץ,hebrew
xabix,garble,o,lexab(e)x,לְשַׁבֵּשׁ,hebrew
xad,should,a,,,english
xadar,transmit,a,lexad(e)R,לְשַׁדֵּר,hebrew
xadik,pair,o,lexad(e)H,לְשַׁדֵּךְ,hebrew
xadrig,upgrade,o,lexadR(e)g,לְשַׁדְרֵג,hebrew
xafan,rabbit,o,shafan,שָׁפָן,hebrew
xagrir,envoy,o,shagrir,שַׁגְרִיר,hebrew
xahal,kid,o,xiǎohái,小孩,chinese
xak,wheel,o,cakra,चक्र,sanskrit
xakan,neighbor,o,shachen,שָׁכֵן,hebrew
xaket,salmon,o,sake,サケ,japanese
xakid,bribe,a,lexaH(e)d,לְשַׁחֵד,hebrew
xakif,reflect,m,lexak(e)f,לְשַׁקֵּף,hebrew
xakik,quell,a,lexak(e)H,לְשַׁכֵּךְ,hebrew
xakim,rehabilitate,a,lexak(e)m,לְשַׁקֵּם,hebrew
xakzir,restore,a,lexaHz(e)R,לְשַׁחְזֵר,hebrew
xal,of,m,shel,שֶׁל,hebrew
xalaq,jot,o,shaoliang,少量,chinese
xalav,phase,o,shalav,שָׁלָב,hebrew
xaliv,inspire,a,lexalh(e)v,לְשַׁלְהֵב,hebrew
xalom,welfare,o,shalom,שָׁלוֹם,hebrew
xalren,villain,o,xiǎo rén,小人,chinese
xam,the state of being x (-acy),o,,,
xaman,melon (vegetable),o,šammām,شَمَّام,arabic
xamar,preserve,a,lexam(e)R,לְשַׁמֵּר,hebrew
xamatz,trace,a,shemetz,שֶׁמֶץ,hebrew
xambol,shamble,a,,,english
xamyan,underneath,a,xiàmiàn,下面,chinese
xan,year,o,shaná,שָׁנָה,hebrew
xanbiq,pie,o,xiàn bǐng,馅饼,chinese
xanbun,condemn,a,xuānbù,宣佈,chinese
xandjin,cash,o,xiàn jīn,现金,chinese
xanot,review,o,lixn(o)t,לִשְׁנוֹת,hebrew
xanswot,clue,o,xiàn suǒ,线索,chinese
xantxul,drape,o,xuanchui,悬垂,chinese
xanup,coral,o,shān hú,珊瑚,chinese
xanxaq,phenomenon,o,xiànxiàng,现象,chinese
xanxik,reality,m,xiàn shí,现实,chinese
xanxim,slender,m,xianxi,纤细,chinese
xanxiq,linear,m,xiàn xìng,线性,chinese
xanxit,argue,a,xiǎnshì,显示,chinese
xanxup,adept,a,xián shú,娴熟,chinese
xanxwik,perfume,o,xiāng shuǐ,香水,chinese
xanzan,rotate,a,xuanzhuan,旋转,chinese
xanzim,restrict,a,xiànzhì,限制,chinese
xapar,suppose,a,lexa'(e)R,לְשַׁעֵר,hebrew
xapitz,renovate,a,lexap(e)tz,לְשַׁפֵּץ,hebrew
xaq,object,o,,,
xaqdal,anticipate,a,xiǎngdào,想到,chinese
xaqdwit,relative,m,xiāng duì,相对,chinese
xaqfan,converse (opposite),a,xiāngfǎn,相反,chinese
xaqfaq,counterpart,o,shuangfang,对方,chinese
xaqgwaq,glisten,a,shanguang,闪光,chinese
xaqkam,shell,o,,शङ्ख,sanskrit
xaqman,authority,o,shàngmiàn,上面,chinese
xaqmum,item,o,xiangmu,项目,chinese
xaqmun,project,o,xiangmu,项目,chinese
xaqtxan,produce,a,shengchan,生产,chinese
xaqyal,desire,a,xiǎngyào,想要,chinese
xaqyan,cigarette,o,xiāng yān,香烟,chinese
xaqyen,commerce,o,shāngyè,商业,chinese
xaqzaq,twiddle,o,xuanzhuan,旋转,chinese
xarab,wine,o,šarāb,شَرَاب,arabic
xarat,hair,o,sharah,شَعْرَة,arabic
xarm,10^18,o,,,
xarotz,infest,m,lixR(o)tz,לִשְׁרוֹץ,hebrew
xarp,x sound,o,,,
xarup,arrow,o,śáru,शरु,sanskrit
xatan,demon,o,šayṭana,شَيْطَنَ ,arabic
xatir,police,o,lexat(e)R,לְשַׁטֵּר,hebrew
xatit,hidden,a,catita,चतित,sanskrit
xator,shutter,o,,,english
xatxgan,correlate,a,xiangguan,相关,chinese
xatxuk,sag,o,xiachui,下垂,chinese
xavak,market (action),o,lexav(e)k,לְשַׁווֵּק,hebrew
xavir,fracture,o,shever,שֶׁבֶר,hebrew
xaviv,flash,a,shviv,שְׁבִיב,hebrew
xawal,ask,a,shaw'al,שָׁאַל,hebrew
xayef,smooth,a,lexay(e)f,לְשַׁייֵּף,hebrew
xayek,attribute,o,lexay(e)H,לְשַׁייֵּךְ,hebrew
xaytan,describe,a,šayṭana,شَيْطَنَ,arabic
xazuf,tan,o,shazúf,שָׁזוּף,hebrew
xedjan,slash,a,xuējiǎn,削减,chinese
xedjip,implicate,a,shèjí,涉及,chinese
xelak,question,o,sh'elá,שְׁאֵלָה,hebrew
xentip,frame,a,shēntǐ,身体,chinese
xenwan,myth,o,shénhuà,神话,chinese
xenxen,prudent,m,shěn shèn,审慎,chinese
xenxeq,sacred,a,shensheng,神圣,chinese
xenyul,reputation,a,shengyu,声誉,chinese
xep,shape,o,,,english
xeqyap,career,o,shēng yá,生涯,chinese
xeqyin,voice,o,shēngyīn,声音,chinese
xidaq,appropriate (behavior),a,shì dàng,适当,chinese
xidep,compel,a,shǐdé,使得,chinese
xidjan,practice,o,shí jiàn,实践,chinese
xidjeq,mundane,m,shìjiè,世界,chinese
xidjik,detail,o,xijie,细节,chinese
xidjim,devise,a,sheji,设计,chinese
xidjiq,literal,m,shíjì,实际,chinese
xidoq,perturbation,o,shedong,摄 动,chinese
xidud,modest,m,shidude,适度地,chinese
xifal,minimum,m,shefel,שֵׁפֶל,hebrew
xifol,whether,m,shì fǒu,是否,chinese
xigraq,routine,o,shigra,שִׁגְרָה,hebrew
xigup,accident,o,shì gù,事故,chinese
xigur,launch,a,shigur,שִׁיגּוּר,hebrew
xihet,qualify,a,shìhé,适合,chinese
xihok,erode,a,lixH(o)k,לִשְׁחוֹק,hebrew
xihul,cough,a,shi'ul,שִׁיעוּל,hebrew
xihur,lesson,o,shi'ur,שִׁיעוּר,hebrew
xik,computation,o,,,
xikdjal,cult,o,xiejiao,邪教,chinese
xiket,moment,o,shí kè,时刻,chinese
xikul,average,o,shiklul,שִׁיקְלוּל,hebrew
xikvan,level,o,shichva,שִׁכְבָה,hebrew
xilad,skeleton,o,sheled,שֶׁלֶד,hebrew
xiliq,series,o,xilie,系列,chinese
ximbal,pod (flower),o,shimba,शिम्ब,sanskrit
ximun,oil,o,shemen,שֶׁמֶן,hebrew
xinaq,shank/shin (leg),m,shin,,english
xinkwak,euphoric,a,xīn kuài,欣快,chinese
xinlin,psychology,o,xinli,心理,chinese
xintxiq,mood,o,xīn qíng,心情,chinese
xinun,repetition,o,shinun,שִׁינּוּן,hebrew
xinwaq,flustered,m,xīn huāng,心慌,chinese
xinxan,fresh,m,xīn xiān,新鲜,chinese
xinyoq,credit,a,xìn yòng,信用,chinese
xinzaq,heart (body),o,xīnzàng,心脏,chinese
xip,apply,a,,,
xipin,video,o,shì pín,视频,chinese
xipur,improve,a,shipur,שִׁיפּוּר,hebrew
xiq,action,a,,,
xiqdoq,vivid,a,shengdong,生动,chinese
xiqtal,morph,o,xíngtài,形态,chinese
xiran,poetry,o,shira,שִׁירָה,hebrew
xireq,shear,m,shear,,english
xirut,cohesion (physics),o,kshirut,קְשִׁירוּת,hebrew
xiryon,armor,o,shiryon,שִׁרְיוֹן,hebrew
xitan,urine,o,sheten,שֶׁתֶן,hebrew
xitoq,lineage,o,xìtǒng,系统,chinese
xitxip,season (period),o,shíqí,时期,chinese
xivan,destroy,a,,,
xivav,chip (like computing),o,shvav,שְׁבָב,hebrew
xivet,settle,a,lax(e)vet,לָשֶׁבֶת,hebrew
favrit,favorite,m,,,english
xiwaq,wish,o,xiwang,希望,chinese
xiwek,deem,a,shìwéi,视为,chinese
xix,all encompasing thing,m,,,
xixaq,stylish,m,shí shàng,时尚,chinese
xixuk,sparse,m,xī shū,稀疏,chinese
xixyam,student,o,,शिष्या,sanskrit
xiyen,endeavor,o,shìyè,事业,chinese
xiyin,appeal,o,xīyǐn,吸引,chinese
xiz,literate,m,shizi,识字,chinese
xkidaq,persevere,a,shkida,שְׁקִידָה,hebrew
xkilaq,consider,a,shkila,שְׁקִילָה,hebrew
xlikut,mission,o,shlichut,שְׁלִיחוּת,hebrew
xmaman,wilderness,o,shmama,שְׁמָמָה,hebrew
xninan,wittiness,o,shnina,שְׁנִינָה,hebrew
xodwan,resort (action),a,shǒuduàn,手段,chinese
xofet,judge,o,shofet,שׁוֹפֵט,hebrew
xok,copy,a,,,
xokul,harvest,o,shouhuo,收获,chinese
xol,show,o,,,english
xoldal,receipt,o,shōudào,收到,chinese
xolgoq,handmade,o,shǒu gōng,手工,chinese
xoltal,glove,o,shǒu tào,手套,chinese
xoltxaq,lanky,m,shòu cháng,瘦长,chinese
xolxip,punctual,m,shǒu shí,守时,chinese
